"","GO.ID","Term","Annotated","Significant","Expected","classicFisher","set"
"52","GO:0016226","iron-sulfur cluster assembly",14,1,0.02,"0.024","Module_3"
"53","GO:0031163","metallo-sulfur cluster assembly",14,1,0.02,"0.024","Module_3"
"54","GO:0006098","pentose-phosphate shunt",15,1,0.03,"0.025","Module_3"
"55","GO:0006740","NADPH regeneration",15,1,0.03,"0.025","Module_3"
"56","GO:0051156","glucose 6-phosphate metabolic process",15,1,0.03,"0.025","Module_3"
"57","GO:0006739","NADP metabolic process",19,1,0.03,"0.032","Module_3"
"58","GO:1901606","alpha-amino acid catabolic process",21,1,0.04,"0.035","Module_3"
"59","GO:0009063","cellular amino acid catabolic process",22,1,0.04,"0.037","Module_3"
"60","GO:0046148","pigment biosynthetic process",26,1,0.04,"0.043","Module_3"
"61","GO:0016567","protein ubiquitination",102,2,0.15,"0.010","Module_4"
"62","GO:0032446","protein modification by small protein co...",109,2,0.16,"0.011","Module_4"
"63","GO:0070647","protein modification by small protein co...",118,2,0.18,"0.013","Module_4"
"64","GO:0005985","sucrose metabolic process",12,1,0.02,"0.018","Module_4"
"65","GO:0009396","folic acid-containing compound biosynthe...",12,1,0.02,"0.018","Module_4"
"66","GO:0006760","folic acid-containing compound metabolic...",14,1,0.02,"0.021","Module_4"
"67","GO:0016226","iron-sulfur cluster assembly",14,1,0.02,"0.021","Module_4"
"68","GO:0031163","metallo-sulfur cluster assembly",14,1,0.02,"0.021","Module_4"
"69","GO:0140694","non-membrane-bounded organelle assembly",14,1,0.02,"0.021","Module_4"
"70","GO:0042559","pteridine-containing compound biosynthet...",17,1,0.03,"0.025","Module_4"
"71","GO:0022607","cellular component assembly",169,2,0.25,"0.026","Module_4"
"72","GO:0042398","cellular modified amino acid biosyntheti...",20,1,0.03,"0.030","Module_4"
"73","GO:0042558","pteridine-containing compound metabolic ...",21,1,0.03,"0.031","Module_4"
"74","GO:0070925","organelle assembly",21,1,0.03,"0.031","Module_4"
"75","GO:0006575","cellular modified amino acid metabolic p...",26,1,0.04,"0.038","Module_4"
"76","GO:0006605","protein targeting",37,1,0.02,"0.018","Module_5"
"77","GO:0009237","siderophore metabolic process",48,1,0.02,"0.024","Module_5"
"78","GO:0019290","siderophore biosynthetic process",48,1,0.02,"0.024","Module_5"
"79","GO:0044550","secondary metabolite biosynthetic proces...",51,1,0.03,"0.025","Module_5"
"80","GO:0019184","nonribosomal peptide biosynthetic proces...",53,1,0.03,"0.026","Module_5"
"81","GO:0019748","secondary metabolic process",78,1,0.04,"0.039","Module_5"
"82","GO:0045454","cell redox homeostasis",125,1,0.06,"0.061","Module_5"
"83","GO:0019725","cellular homeostasis",143,1,0.07,"0.070","Module_5"
"84","GO:0042592","homeostatic process",151,1,0.08,"0.073","Module_5"
"85","GO:0065008","regulation of biological quality",176,1,0.09,"0.085","Module_5"
"86","GO:0006886","intracellular protein transport",198,1,0.1,"0.095","Module_5"
"87","GO:0034613","cellular protein localization",212,1,0.11,"0.102","Module_5"
"88","GO:0070727","cellular macromolecule localization",212,1,0.11,"0.102","Module_5"
"89","GO:0046907","intracellular transport",235,1,0.12,"0.112","Module_5"
"90","GO:0051649","establishment of localization in cell",235,1,0.12,"0.112","Module_5"
"91","GO:0044262","cellular carbohydrate metabolic process",143,3,0.13,"0.00023","Module_6"
"92","GO:0005984","disaccharide metabolic process",34,2,0.03,"0.00040","Module_6"
"93","GO:0009311","oligosaccharide metabolic process",39,2,0.04,"0.00053","Module_6"
"94","GO:0034637","cellular carbohydrate biosynthetic proce...",78,2,0.07,"0.00210","Module_6"
"95","GO:0016051","carbohydrate biosynthetic process",92,2,0.08,"0.00291","Module_6"
"96","GO:0006625","protein targeting to peroxisome",5,1,0,"0.00451","Module_6"
"97","GO:0043574","peroxisomal transport",5,1,0,"0.00451","Module_6"
"98","GO:0072662","protein localization to peroxisome",5,1,0,"0.00451","Module_6"
"99","GO:0072663","establishment of protein localization to...",5,1,0,"0.00451","Module_6"
"100","GO:0044743","protein transmembrane import into intrac...",7,1,0.01,"0.00630","Module_6"
"101","GO:0007031","peroxisome organization",9,1,0.01,"0.00810","Module_6"
"102","GO:0065002","intracellular protein transmembrane tran...",10,1,0.01,"0.00900","Module_6"
"103","GO:0071806","protein transmembrane transport",10,1,0.01,"0.00900","Module_6"
"104","GO:0005985","sucrose metabolic process",12,1,0.01,"0.01079","Module_6"
"105","GO:0006415","translational termination",14,1,0.01,"0.01257","Module_6"
"106","GO:0006418","tRNA aminoacylation for protein translat...",52,2,0.06,"0.0014","Module_7"
"107","GO:0043038","amino acid activation",52,2,0.06,"0.0014","Module_7"
"108","GO:0043039","tRNA aminoacylation",52,2,0.06,"0.0014","Module_7"
"109","GO:0000917","division septum assembly",5,1,0.01,"0.0055","Module_7"
"110","GO:0032506","cytokinetic process",5,1,0.01,"0.0055","Module_7"
"111","GO:0090529","cell septum assembly",5,1,0.01,"0.0055","Module_7"
"112","GO:0006399","tRNA metabolic process",106,2,0.12,"0.0058","Module_7"
"113","GO:0006430","lysyl-tRNA aminoacylation",6,1,0.01,"0.0066","Module_7"
"114","GO:0009408","response to heat",8,1,0.01,"0.0088","Module_7"
"115","GO:0030091","protein repair",8,1,0.01,"0.0088","Module_7"
"116","GO:0034660","ncRNA metabolic process",135,2,0.15,"0.0092","Module_7"
"117","GO:0019538","protein metabolic process",2651,7,2.93,"0.0108","Module_7"
"118","GO:0006665","sphingolipid metabolic process",10,1,0.01,"0.0110","Module_7"
"119","GO:0009266","response to temperature stimulus",10,1,0.01,"0.0110","Module_7"
"120","GO:0006904","vesicle docking involved in exocytosis",11,1,0.01,"0.0121","Module_7"
"121","GO:0009247","glycolipid biosynthetic process",19,1,0.01,"0.0076","Module_8"
"122","GO:0046467","membrane lipid biosynthetic process",20,1,0.01,"0.0080","Module_8"
"123","GO:0006664","glycolipid metabolic process",24,1,0.01,"0.0096","Module_8"
"124","GO:1903509","liposaccharide metabolic process",24,1,0.01,"0.0096","Module_8"
"125","GO:0009312","oligosaccharide biosynthetic process",28,1,0.01,"0.0112","Module_8"
"126","GO:0006643","membrane lipid metabolic process",32,1,0.01,"0.0128","Module_8"
"127","GO:0009311","oligosaccharide metabolic process",39,1,0.02,"0.0156","Module_8"
"128","GO:0008654","phospholipid biosynthetic process",48,1,0.02,"0.0191","Module_8"
"129","GO:0016051","carbohydrate biosynthetic process",92,1,0.04,"0.0364","Module_8"
"130","GO:0006644","phospholipid metabolic process",100,1,0.04,"0.0395","Module_8"
"131","GO:0016567","protein ubiquitination",102,1,0.04,"0.0403","Module_8"
"132","GO:0032446","protein modification by small protein co...",109,1,0.04,"0.0430","Module_8"
"133","GO:0070647","protein modification by small protein co...",118,1,0.05,"0.0465","Module_8"
"134","GO:1901137","carbohydrate derivative biosynthetic pro...",142,1,0.06,"0.0558","Module_8"
"135","GO:0090407","organophosphate biosynthetic process",153,1,0.06,"0.0600","Module_8"
"136","GO:0065008","regulation of biological quality",176,2,0.07,"0.0018","Module_9"
"137","GO:0009690","cytokinin metabolic process",12,1,0,"0.0048","Module_9"
"138","GO:0034754","cellular hormone metabolic process",12,1,0,"0.0048","Module_9"
"139","GO:0042445","hormone metabolic process",12,1,0,"0.0048","Module_9"
"140","GO:0010817","regulation of hormone levels",14,1,0.01,"0.0056","Module_9"
"141","GO:0051258","protein polymerization",29,1,0.01,"0.0116","Module_9"
"142","GO:0006662","glycerol ether metabolic process",35,1,0.01,"0.0140","Module_9"
"143","GO:0018904","ether metabolic process",35,1,0.01,"0.0140","Module_9"
"144","GO:0009308","amine metabolic process",52,1,0.02,"0.0207","Module_9"
"145","GO:0065003","protein-containing complex assembly",118,1,0.05,"0.0465","Module_9"
"146","GO:0045454","cell redox homeostasis",125,1,0.05,"0.0492","Module_9"
"147","GO:0007017","microtubule-based process",126,1,0.05,"0.0496","Module_9"
"148","GO:0043933","protein-containing complex organization",142,1,0.06,"0.0558","Module_9"
"149","GO:0019725","cellular homeostasis",143,1,0.06,"0.0562","Module_9"
"150","GO:0042592","homeostatic process",151,1,0.06,"0.0592","Module_9"
"151","GO:0044260","cellular macromolecule metabolic process",2666,9,3.74,"0.0036","Module_10"
"152","GO:1901575","organic substance catabolic process",282,3,0.4,"0.0065","Module_10"
"153","GO:0009056","catabolic process",297,3,0.42,"0.0075","Module_10"
"154","GO:0044265","cellular macromolecule catabolic process",102,2,0.14,"0.0087","Module_10"
"155","GO:0071704","organic substance metabolic process",6145,13,8.63,"0.0111","Module_10"
"156","GO:0044237","cellular metabolic process",5284,12,7.42,"0.0117","Module_10"
"157","GO:1901565","organonitrogen compound catabolic proces...",131,2,0.18,"0.0141","Module_10"
"158","GO:0009057","macromolecule catabolic process",134,2,0.19,"0.0147","Module_10"
"159","GO:1901564","organonitrogen compound metabolic proces...",3269,9,4.59,"0.0155","Module_10"
"160","GO:0009396","folic acid-containing compound biosynthe...",12,1,0.02,"0.0167","Module_10"
"161","GO:0006760","folic acid-containing compound metabolic...",14,1,0.02,"0.0195","Module_10"
"162","GO:0006721","terpenoid metabolic process",17,1,0.02,"0.0236","Module_10"
"163","GO:0016114","terpenoid biosynthetic process",17,1,0.02,"0.0236","Module_10"
"164","GO:0042559","pteridine-containing compound biosynthet...",17,1,0.02,"0.0236","Module_10"
"165","GO:0006026","aminoglycan catabolic process",18,1,0.03,"0.0250","Module_10"
"166","GO:0006546","glycine catabolic process",7,1,0.01,"0.012","Module_11"
"167","GO:0009071","serine family amino acid catabolic proce...",7,1,0.01,"0.012","Module_11"
"168","GO:0006544","glycine metabolic process",9,1,0.02,"0.015","Module_11"
"169","GO:0006265","DNA topological change",21,1,0.04,"0.035","Module_11"
"170","GO:0071103","DNA conformation change",21,1,0.04,"0.035","Module_11"
"171","GO:1901606","alpha-amino acid catabolic process",21,1,0.04,"0.035","Module_11"
"172","GO:0009063","cellular amino acid catabolic process",22,1,0.04,"0.037","Module_11"
"173","GO:0046148","pigment biosynthetic process",26,1,0.04,"0.043","Module_11"
"174","GO:0016054","organic acid catabolic process",27,1,0.05,"0.045","Module_11"
"175","GO:0046395","carboxylic acid catabolic process",27,1,0.05,"0.045","Module_11"
"176","GO:0009069","serine family amino acid metabolic proce...",29,1,0.05,"0.048","Module_11"
"177","GO:0042440","pigment metabolic process",30,1,0.05,"0.050","Module_11"
"178","GO:0044282","small molecule catabolic process",45,1,0.08,"0.074","Module_11"
"179","GO:0006352","DNA-templated transcription, initiation",46,1,0.08,"0.076","Module_11"
"180","GO:0006351","transcription, DNA-templated",1153,4,1.97,"0.125","Module_11"
"181","GO:0006721","terpenoid metabolic process",17,1,0.03,"0.027","Module_12"
"182","GO:0016114","terpenoid biosynthetic process",17,1,0.03,"0.027","Module_12"
"183","GO:0006265","DNA topological change",21,1,0.03,"0.033","Module_12"
"184","GO:0071103","DNA conformation change",21,1,0.03,"0.033","Module_12"
"185","GO:0006720","isoprenoid metabolic process",38,1,0.06,"0.059","Module_12"
"186","GO:0008299","isoprenoid biosynthetic process",38,1,0.06,"0.059","Module_12"
"187","GO:0008037","cell recognition",65,1,0.1,"0.099","Module_12"
"188","GO:0009856","pollination",65,1,0.1,"0.099","Module_12"
"189","GO:0009875","pollen-pistil interaction",65,1,0.1,"0.099","Module_12"
"190","GO:0044706","multi-multicellular organism process",65,1,0.1,"0.099","Module_12"
"191","GO:0048544","recognition of pollen",65,1,0.1,"0.099","Module_12"
"192","GO:0008152","metabolic process",7067,14,11.34,"0.113","Module_12"
"193","GO:0043170","macromolecule metabolic process",4467,10,7.17,"0.121","Module_12"
"194","GO:0051276","chromosome organization",80,1,0.13,"0.121","Module_12"
"195","GO:0022414","reproductive process",82,1,0.13,"0.124","Module_12"
"196","GO:0015977","carbon fixation",7,1,0.01,"0.0084","Module_13"
"197","GO:0016226","iron-sulfur cluster assembly",14,1,0.02,"0.0167","Module_13"
"198","GO:0031163","metallo-sulfur cluster assembly",14,1,0.02,"0.0167","Module_13"
"199","GO:0006099","tricarboxylic acid cycle",18,1,0.02,"0.0215","Module_13"
"200","GO:0009247","glycolipid biosynthetic process",19,1,0.02,"0.0226","Module_13"
"201","GO:0046467","membrane lipid biosynthetic process",20,1,0.02,"0.0238","Module_13"
"202","GO:0006664","glycolipid metabolic process",24,1,0.03,"0.0285","Module_13"
"203","GO:1903509","liposaccharide metabolic process",24,1,0.03,"0.0285","Module_13"
"204","GO:0009060","aerobic respiration",27,1,0.03,"0.0320","Module_13"
"205","GO:0009312","oligosaccharide biosynthetic process",28,1,0.03,"0.0332","Module_13"
"206","GO:0006643","membrane lipid metabolic process",32,1,0.04,"0.0379","Module_13"
"207","GO:0045333","cellular respiration",35,1,0.04,"0.0413","Module_13"
"208","GO:0009311","oligosaccharide metabolic process",39,1,0.05,"0.0460","Module_13"
"209","GO:0015980","energy derivation by oxidation of organi...",42,1,0.05,"0.0494","Module_13"
"210","GO:0008654","phospholipid biosynthetic process",48,1,0.06,"0.0563","Module_13"
"211","GO:0046488","phosphatidylinositol metabolic process",64,1,0.03,"0.032","Module_14"
"212","GO:0050794","regulation of cellular process",1661,3,0.83,"0.035","Module_14"
"213","GO:0000160","phosphorelay signal transduction system",73,1,0.04,"0.036","Module_14"
"214","GO:0050789","regulation of biological process",1708,3,0.86,"0.038","Module_14"
"215","GO:0006650","glycerophospholipid metabolic process",81,1,0.04,"0.040","Module_14"
"216","GO:0065007","biological regulation",1756,3,0.88,"0.041","Module_14"
"217","GO:0046486","glycerolipid metabolic process",91,1,0.05,"0.045","Module_14"
"218","GO:0006644","phospholipid metabolic process",100,1,0.05,"0.049","Module_14"
"219","GO:0006355","regulation of transcription, DNA-templat...",1016,2,0.51,"0.084","Module_14"
"220","GO:1903506","regulation of nucleic acid-templated tra...",1016,2,0.51,"0.084","Module_14"
"221","GO:2001141","regulation of RNA biosynthetic process",1016,2,0.51,"0.084","Module_14"
"222","GO:0051252","regulation of RNA metabolic process",1019,2,0.51,"0.085","Module_14"
"223","GO:0010556","regulation of macromolecule biosynthetic...",1028,2,0.52,"0.086","Module_14"
"224","GO:0031326","regulation of cellular biosynthetic proc...",1028,2,0.52,"0.086","Module_14"
"225","GO:0009889","regulation of biosynthetic process",1029,2,0.52,"0.086","Module_14"
"226","GO:0006625","protein targeting to peroxisome",5,1,0.01,"0.0075","Module_15"
"227","GO:0043574","peroxisomal transport",5,1,0.01,"0.0075","Module_15"
"228","GO:0072662","protein localization to peroxisome",5,1,0.01,"0.0075","Module_15"
"229","GO:0072663","establishment of protein localization to...",5,1,0.01,"0.0075","Module_15"
"230","GO:0044743","protein transmembrane import into intrac...",7,1,0.01,"0.0105","Module_15"
"231","GO:0019310","inositol catabolic process",8,1,0.01,"0.0120","Module_15"
"232","GO:0046164","alcohol catabolic process",8,1,0.01,"0.0120","Module_15"
"233","GO:0046174","polyol catabolic process",8,1,0.01,"0.0120","Module_15"
"234","GO:1901616","organic hydroxy compound catabolic proce...",8,1,0.01,"0.0120","Module_15"
"235","GO:0007031","peroxisome organization",9,1,0.01,"0.0135","Module_15"
"236","GO:0044275","cellular carbohydrate catabolic process",9,1,0.01,"0.0135","Module_15"
"237","GO:0006020","inositol metabolic process",10,1,0.02,"0.0150","Module_15"
"238","GO:0065002","intracellular protein transmembrane tran...",10,1,0.02,"0.0150","Module_15"
"239","GO:0071806","protein transmembrane transport",10,1,0.02,"0.0150","Module_15"
"240","GO:0016226","iron-sulfur cluster assembly",14,1,0.02,"0.0209","Module_15"
"241","GO:0006979","response to oxidative stress",124,1,0.05,"0.049","Module_16"
"242","GO:0006950","response to stress",575,1,0.23,"0.212","Module_16"
"243","GO:0055085","transmembrane transport",703,1,0.28,"0.254","Module_16"
"244","GO:0050896","response to stimulus",1182,1,0.47,"0.396","Module_16"
"245","GO:0006468","protein phosphorylation",1286,1,0.52,"0.425","Module_16"
"246","GO:0016310","phosphorylation",1373,1,0.55,"0.447","Module_16"
"247","GO:0006810","transport",1565,1,0.63,"0.495","Module_16"
"248","GO:0051234","establishment of localization",1572,1,0.63,"0.497","Module_16"
"249","GO:0051179","localization",1579,1,0.63,"0.498","Module_16"
"250","GO:0006464","cellular protein modification process",1663,1,0.67,"0.518","Module_16"
"251","GO:0036211","protein modification process",1663,1,0.67,"0.518","Module_16"
"252","GO:0043412","macromolecule modification",1725,1,0.69,"0.532","Module_16"
"253","GO:0006796","phosphate-containing compound metabolic ...",1729,1,0.69,"0.533","Module_16"
"254","GO:0006793","phosphorus metabolic process",1730,1,0.69,"0.534","Module_16"
"255","GO:0044267","cellular protein metabolic process",2219,1,0.89,"0.635","Module_16"
"256","GO:0006743","ubiquinone metabolic process",6,1,0.01,"0.009","Module_17"
"257","GO:0006744","ubiquinone biosynthetic process",6,1,0.01,"0.009","Module_17"
"258","GO:0042181","ketone biosynthetic process",9,1,0.01,"0.013","Module_17"
"259","GO:1901661","quinone metabolic process",9,1,0.01,"0.013","Module_17"
"260","GO:1901663","quinone biosynthetic process",9,1,0.01,"0.013","Module_17"
"261","GO:0042180","cellular ketone metabolic process",14,1,0.02,"0.021","Module_17"
"262","GO:0030244","cellulose biosynthetic process",31,1,0.05,"0.046","Module_17"
"263","GO:0030243","cellulose metabolic process",32,1,0.05,"0.047","Module_17"
"264","GO:0006662","glycerol ether metabolic process",35,1,0.05,"0.051","Module_17"
"265","GO:0018904","ether metabolic process",35,1,0.05,"0.051","Module_17"
"266","GO:0051274","beta-glucan biosynthetic process",44,1,0.07,"0.064","Module_17"
"267","GO:0051273","beta-glucan metabolic process",45,1,0.07,"0.066","Module_17"
"268","GO:0009250","glucan biosynthetic process",51,1,0.08,"0.074","Module_17"
"269","GO:0000271","polysaccharide biosynthetic process",53,1,0.08,"0.077","Module_17"
"270","GO:0033692","cellular polysaccharide biosynthetic pro...",53,1,0.08,"0.077","Module_17"
"271","GO:0001678","cellular glucose homeostasis",7,1,0.01,"0.0091","Module_18"
"272","GO:0033500","carbohydrate homeostasis",7,1,0.01,"0.0091","Module_18"
"273","GO:0042593","glucose homeostasis",7,1,0.01,"0.0091","Module_18"
"274","GO:0046835","carbohydrate phosphorylation",10,1,0.01,"0.0130","Module_18"
"275","GO:0006541","glutamine metabolic process",16,1,0.02,"0.0207","Module_18"
"276","GO:0055082","cellular chemical homeostasis",17,1,0.02,"0.0220","Module_18"
"277","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",18,1,0.02,"0.0232","Module_18"
"278","GO:0048878","chemical homeostasis",24,1,0.03,"0.0309","Module_18"
"279","GO:0048193","Golgi vesicle transport",35,1,0.05,"0.0447","Module_18"
"280","GO:0009064","glutamine family amino acid metabolic pr...",45,1,0.06,"0.0572","Module_18"
"281","GO:0009607","response to biotic stimulus",57,1,0.07,"0.0719","Module_18"
"282","GO:0046488","phosphatidylinositol metabolic process",64,1,0.08,"0.0804","Module_18"
"283","GO:0006650","glycerophospholipid metabolic process",81,1,0.11,"0.1007","Module_18"
"284","GO:0046486","glycerolipid metabolic process",91,1,0.12,"0.1124","Module_18"
"285","GO:0006644","phospholipid metabolic process",100,1,0.13,"0.1229","Module_18"
"286","GO:0043087","regulation of GTPase activity",5,1,0.01,"0.0095","Module_19"
"287","GO:0006546","glycine catabolic process",7,1,0.01,"0.0133","Module_19"
"288","GO:0009071","serine family amino acid catabolic proce...",7,1,0.01,"0.0133","Module_19"
"289","GO:0051336","regulation of hydrolase activity",7,1,0.01,"0.0133","Module_19"
"290","GO:0006544","glycine metabolic process",9,1,0.02,"0.0170","Module_19"
"291","GO:1901565","organonitrogen compound catabolic proces...",131,2,0.25,"0.0253","Module_19"
"292","GO:0009247","glycolipid biosynthetic process",19,1,0.04,"0.0356","Module_19"
"293","GO:0046467","membrane lipid biosynthetic process",20,1,0.04,"0.0375","Module_19"
"294","GO:1901606","alpha-amino acid catabolic process",21,1,0.04,"0.0393","Module_19"
"295","GO:0009063","cellular amino acid catabolic process",22,1,0.04,"0.0411","Module_19"
"296","GO:0006664","glycolipid metabolic process",24,1,0.05,"0.0448","Module_19"
"297","GO:1903509","liposaccharide metabolic process",24,1,0.05,"0.0448","Module_19"
"298","GO:0046148","pigment biosynthetic process",26,1,0.05,"0.0485","Module_19"
"299","GO:0016054","organic acid catabolic process",27,1,0.05,"0.0503","Module_19"
"300","GO:0046395","carboxylic acid catabolic process",27,1,0.05,"0.0503","Module_19"
"301","GO:0009269","response to desiccation",8,1,0.01,"0.0072","Module_20"
"302","GO:0009414","response to water deprivation",8,1,0.01,"0.0072","Module_20"
"303","GO:0001101","response to acid chemical",11,1,0.01,"0.0099","Module_20"
"304","GO:0009415","response to water",11,1,0.01,"0.0099","Module_20"
"305","GO:0030001","metal ion transport",226,2,0.2,"0.0166","Module_20"
"306","GO:0010035","response to inorganic substance",19,1,0.02,"0.0170","Module_20"
"307","GO:1901700","response to oxygen-containing compound",24,1,0.02,"0.0215","Module_20"
"308","GO:0006364","rRNA processing",29,1,0.03,"0.0259","Module_20"
"309","GO:0016072","rRNA metabolic process",29,1,0.03,"0.0259","Module_20"
"310","GO:0006812","cation transport",288,2,0.26,"0.0262","Module_20"
"311","GO:0009628","response to abiotic stimulus",40,1,0.04,"0.0356","Module_20"
"312","GO:0006913","nucleocytoplasmic transport",46,1,0.04,"0.0408","Module_20"
"313","GO:0051169","nuclear transport",46,1,0.04,"0.0408","Module_20"
"314","GO:0006811","ion transport",375,2,0.34,"0.0426","Module_20"
"315","GO:0006511","ubiquitin-dependent protein catabolic pr...",49,1,0.04,"0.0434","Module_20"
"316","GO:0009311","oligosaccharide metabolic process",39,2,0.04,"0.0008","Module_21"
"317","GO:1901575","organic substance catabolic process",282,3,0.31,"0.0031","Module_21"
"318","GO:1901135","carbohydrate derivative metabolic proces...",284,3,0.31,"0.0032","Module_21"
"319","GO:0009056","catabolic process",297,3,0.33,"0.0036","Module_21"
"320","GO:0019637","organophosphate metabolic process",311,3,0.34,"0.0041","Module_21"
"321","GO:0009262","deoxyribonucleotide metabolic process",6,1,0.01,"0.0066","Module_21"
"322","GO:0006546","glycine catabolic process",7,1,0.01,"0.0077","Module_21"
"323","GO:0009071","serine family amino acid catabolic proce...",7,1,0.01,"0.0077","Module_21"
"324","GO:0046434","organophosphate catabolic process",7,1,0.01,"0.0077","Module_21"
"325","GO:0006544","glycine metabolic process",9,1,0.01,"0.0099","Module_21"
"326","GO:0005985","sucrose metabolic process",12,1,0.01,"0.0132","Module_21"
"327","GO:0009117","nucleotide metabolic process",165,2,0.18,"0.0136","Module_21"
"328","GO:0006753","nucleoside phosphate metabolic process",167,2,0.18,"0.0139","Module_21"
"329","GO:0044248","cellular catabolic process",197,2,0.22,"0.0190","Module_21"
"330","GO:0055086","nucleobase-containing small molecule met...",200,2,0.22,"0.0196","Module_21"
"331","GO:0046854","phosphatidylinositol phosphate biosynthe...",14,1,0.01,"0.007","Module_22"
"332","GO:0006661","phosphatidylinositol biosynthetic proces...",28,1,0.01,"0.014","Module_22"
"333","GO:0051258","protein polymerization",29,1,0.01,"0.014","Module_22"
"334","GO:0046474","glycerophospholipid biosynthetic process",32,1,0.02,"0.016","Module_22"
"335","GO:0045017","glycerolipid biosynthetic process",42,1,0.02,"0.021","Module_22"
"336","GO:0008654","phospholipid biosynthetic process",48,1,0.02,"0.024","Module_22"
"337","GO:0046488","phosphatidylinositol metabolic process",64,1,0.03,"0.032","Module_22"
"338","GO:0006650","glycerophospholipid metabolic process",81,1,0.04,"0.040","Module_22"
"339","GO:0046486","glycerolipid metabolic process",91,1,0.05,"0.045","Module_22"
"340","GO:0006790","sulfur compound metabolic process",96,1,0.05,"0.047","Module_22"
"341","GO:0006644","phospholipid metabolic process",100,1,0.05,"0.049","Module_22"
