"","GO.ID","Term","Annotated","Significant","Expected","classicFisher","set"
"27","GO:0003993","acid phosphatase activity",37,1,0.03,"0.0291","Module_1"
"28","GO:0016702","oxidoreductase activity, acting on singl...",46,1,0.04,"0.0360","Module_1"
"29","GO:0051213","dioxygenase activity",50,1,0.04,"0.0391","Module_1"
"30","GO:0140657","ATP-dependent activity",407,2,0.32,"0.0403","Module_1"
"31","GO:0015035","protein-disulfide reductase activity",100,1,0.03,"0.030","Module_2"
"32","GO:0015036","disulfide oxidoreductase activity",100,1,0.03,"0.030","Module_2"
"33","GO:0016667","oxidoreductase activity, acting on a sul...",126,1,0.04,"0.038","Module_2"
"34","GO:0009055","electron transfer activity",191,1,0.06,"0.057","Module_2"
"35","GO:0005525","GTP binding",227,1,0.07,"0.068","Module_2"
"36","GO:0032561","guanyl ribonucleotide binding",227,1,0.07,"0.068","Module_2"
"37","GO:0019001","guanyl nucleotide binding",234,1,0.07,"0.070","Module_2"
"38","GO:0016817","hydrolase activity, acting on acid anhyd...",349,1,0.11,"0.102","Module_2"
"39","GO:0046983","protein dimerization activity",454,1,0.14,"0.132","Module_2"
"40","GO:0003676","nucleic acid binding",2927,2,0.9,"0.221","Module_2"
"41","GO:0000166","nucleotide binding",3342,2,1.02,"0.272","Module_2"
"42","GO:1901265","nucleoside phosphate binding",3342,2,1.02,"0.272","Module_2"
"43","GO:0097159","organic cyclic compound binding",6255,3,1.92,"0.289","Module_2"
"44","GO:1901363","heterocyclic compound binding",6255,3,1.92,"0.289","Module_2"
"45","GO:0036094","small molecule binding",3516,2,1.08,"0.294","Module_2"
"46","GO:0004842","ubiquitin-protein transferase activity",119,2,0.16,"0.011","Module_3"
"47","GO:0019787","ubiquitin-like protein transferase activ...",124,2,0.17,"0.012","Module_3"
"48","GO:0004616","phosphogluconate dehydrogenase (decarbox...",12,1,0.02,"0.016","Module_3"
"49","GO:0016638","oxidoreductase activity, acting on the C...",25,1,0.03,"0.033","Module_3"
"50","GO:0016682","oxidoreductase activity, acting on diphe...",32,1,0.04,"0.042","Module_3"
"51","GO:0016679","oxidoreductase activity, acting on diphe...",37,1,0.05,"0.049","Module_3"
"52","GO:0050661","NADP binding",60,1,0.08,"0.078","Module_3"
"53","GO:0051536","iron-sulfur cluster binding",78,1,0.11,"0.100","Module_3"
"54","GO:0051540","metal cluster binding",78,1,0.11,"0.100","Module_3"
"55","GO:0016616","oxidoreductase activity, acting on the C...",127,1,0.17,"0.158","Module_3"
"56","GO:0016491","oxidoreductase activity",1696,4,2.28,"0.189","Module_3"
"57","GO:0008236","serine-type peptidase activity",183,1,0.25,"0.220","Module_3"
"58","GO:0017171","serine hydrolase activity",183,1,0.25,"0.220","Module_3"
"59","GO:0003677","DNA binding",1874,4,2.52,"0.241","Module_3"
"60","GO:0016614","oxidoreductase activity, acting on CH-OH...",206,1,0.28,"0.244","Module_3"
"61","GO:0004842","ubiquitin-protein transferase activity",119,2,0.15,"0.0092","Module_4"
"62","GO:0019787","ubiquitin-like protein transferase activ...",124,2,0.15,"0.0099","Module_4"
"63","GO:0016157","sucrose synthase activity",10,1,0.01,"0.0122","Module_4"
"64","GO:0004866","endopeptidase inhibitor activity",43,1,0.05,"0.0514","Module_4"
"65","GO:0061135","endopeptidase regulator activity",43,1,0.05,"0.0514","Module_4"
"66","GO:0030414","peptidase inhibitor activity",44,1,0.05,"0.0526","Module_4"
"67","GO:0061134","peptidase regulator activity",44,1,0.05,"0.0526","Module_4"
"68","GO:0008080","N-acetyltransferase activity",53,1,0.06,"0.0630","Module_4"
"69","GO:0016410","N-acyltransferase activity",56,1,0.07,"0.0664","Module_4"
"70","GO:0003735","structural constituent of ribosome",351,2,0.43,"0.0679","Module_4"
"71","GO:0035251","UDP-glucosyltransferase activity",59,1,0.07,"0.0699","Module_4"
"72","GO:0016407","acetyltransferase activity",61,1,0.07,"0.0722","Module_4"
"73","GO:0016879","ligase activity, forming carbon-nitrogen...",63,1,0.08,"0.0744","Module_4"
"74","GO:0005198","structural molecule activity",398,2,0.49,"0.0844","Module_4"
"75","GO:0051536","iron-sulfur cluster binding",78,1,0.1,"0.0914","Module_4"
"76","GO:0003712","transcription coregulator activity",32,1,0.01,"0.014","Module_5"
"77","GO:0004866","endopeptidase inhibitor activity",43,1,0.02,"0.018","Module_5"
"78","GO:0061135","endopeptidase regulator activity",43,1,0.02,"0.018","Module_5"
"79","GO:0030414","peptidase inhibitor activity",44,1,0.02,"0.019","Module_5"
"80","GO:0061134","peptidase regulator activity",44,1,0.02,"0.019","Module_5"
"81","GO:0008667","2,3-dihydro-2,3-dihydroxybenzoate dehydr...",48,1,0.02,"0.020","Module_5"
"82","GO:0016628","oxidoreductase activity, acting on the C...",58,1,0.02,"0.025","Module_5"
"83","GO:0016765","transferase activity, transferring alkyl...",68,1,0.03,"0.029","Module_5"
"84","GO:0016627","oxidoreductase activity, acting on the C...",95,1,0.04,"0.040","Module_5"
"85","GO:0015035","protein-disulfide reductase activity",100,1,0.04,"0.042","Module_5"
"86","GO:0015036","disulfide oxidoreductase activity",100,1,0.04,"0.042","Module_5"
"87","GO:0016667","oxidoreductase activity, acting on a sul...",126,1,0.05,"0.053","Module_5"
"88","GO:0004857","enzyme inhibitor activity",156,1,0.07,"0.065","Module_5"
"89","GO:0009055","electron transfer activity",191,1,0.08,"0.079","Module_5"
"90","GO:0030234","enzyme regulator activity",218,1,0.09,"0.090","Module_5"
"91","GO:0003747","translation release factor activity",10,1,0.01,"0.0092","Module_6"
"92","GO:0008079","translation termination factor activity",10,1,0.01,"0.0092","Module_6"
"93","GO:0016157","sucrose synthase activity",10,1,0.01,"0.0092","Module_6"
"94","GO:0016307","phosphatidylinositol phosphate kinase ac...",16,1,0.01,"0.0146","Module_6"
"95","GO:0004185","serine-type carboxypeptidase activity",46,1,0.04,"0.0414","Module_6"
"96","GO:0004180","carboxypeptidase activity",51,1,0.05,"0.0459","Module_6"
"97","GO:0070008","serine-type exopeptidase activity",51,1,0.05,"0.0459","Module_6"
"98","GO:0004812","aminoacyl-tRNA ligase activity",53,1,0.05,"0.0476","Module_6"
"99","GO:0008080","N-acetyltransferase activity",53,1,0.05,"0.0476","Module_6"
"100","GO:0016875","ligase activity, forming carbon-oxygen b...",53,1,0.05,"0.0476","Module_6"
"101","GO:0016410","N-acyltransferase activity",56,1,0.05,"0.0502","Module_6"
"102","GO:0035251","UDP-glucosyltransferase activity",59,1,0.05,"0.0529","Module_6"
"103","GO:0016407","acetyltransferase activity",61,1,0.06,"0.0546","Module_6"
"104","GO:0016866","intramolecular transferase activity",61,1,0.06,"0.0546","Module_6"
"105","GO:0008238","exopeptidase activity",68,1,0.06,"0.0607","Module_6"
"106","GO:0016887","ATP hydrolysis activity",189,3,0.22,"0.0013","Module_7"
"107","GO:0004812","aminoacyl-tRNA ligase activity",53,2,0.06,"0.0017","Module_7"
"108","GO:0016875","ligase activity, forming carbon-oxygen b...",53,2,0.06,"0.0017","Module_7"
"109","GO:0140101","catalytic activity, acting on a tRNA",88,2,0.1,"0.0046","Module_7"
"110","GO:0017111","nucleoside-triphosphatase activity",314,3,0.37,"0.0054","Module_7"
"111","GO:0003824","catalytic activity",7792,15,9.07,"0.0055","Module_7"
"112","GO:0008113","peptide-methionine (S)-S-oxide reductase...",5,1,0.01,"0.0058","Module_7"
"113","GO:0016462","pyrophosphatase activity",326,3,0.38,"0.0060","Module_7"
"114","GO:0016818","hydrolase activity, acting on acid anhyd...",339,3,0.39,"0.0067","Module_7"
"115","GO:0004824","lysine-tRNA ligase activity",6,1,0.01,"0.0070","Module_7"
"116","GO:0016817","hydrolase activity, acting on acid anhyd...",349,3,0.41,"0.0073","Module_7"
"117","GO:0016787","hydrolase activity",2144,7,2.49,"0.0079","Module_7"
"118","GO:0051766","inositol trisphosphate kinase activity",7,1,0.01,"0.0081","Module_7"
"119","GO:0140657","ATP-dependent activity",407,3,0.47,"0.0111","Module_7"
"120","GO:0016874","ligase activity",158,2,0.18,"0.0143","Module_7"
"121","GO:0005506","iron ion binding",395,2,0.22,"0.019","Module_8"
"122","GO:0046914","transition metal ion binding",1574,3,0.87,"0.048","Module_8"
"123","GO:0004842","ubiquitin-protein transferase activity",119,1,0.07,"0.064","Module_8"
"124","GO:0019787","ubiquitin-like protein transferase activ...",124,1,0.07,"0.066","Module_8"
"125","GO:0043167","ion binding",5212,5,2.87,"0.124","Module_8"
"126","GO:0046872","metal ion binding",2419,3,1.33,"0.137","Module_8"
"127","GO:0043169","cation binding",2432,3,1.34,"0.139","Module_8"
"128","GO:0016705","oxidoreductase activity, acting on paire...",344,1,0.19,"0.174","Module_8"
"129","GO:0005488","binding",11256,8,6.2,"0.178","Module_8"
"130","GO:0016301","kinase activity",1456,2,0.8,"0.188","Module_8"
"131","GO:0004553","hydrolase activity, hydrolyzing O-glycos...",418,1,0.23,"0.208","Module_8"
"132","GO:0003824","catalytic activity",7792,6,4.29,"0.211","Module_8"
"133","GO:0020037","heme binding",427,1,0.24,"0.212","Module_8"
"134","GO:0046906","tetrapyrrole binding",436,1,0.24,"0.216","Module_8"
"135","GO:0016798","hydrolase activity, acting on glycosyl b...",440,1,0.24,"0.218","Module_8"
"136","GO:0019139","cytokinin dehydrogenase activity",12,1,0.01,"0.0081","Module_9"
"137","GO:0005200","structural constituent of cytoskeleton",16,1,0.01,"0.0107","Module_9"
"138","GO:0016645","oxidoreductase activity, acting on the C...",24,1,0.02,"0.0161","Module_9"
"139","GO:0004866","endopeptidase inhibitor activity",43,1,0.03,"0.0286","Module_9"
"140","GO:0061135","endopeptidase regulator activity",43,1,0.03,"0.0286","Module_9"
"141","GO:0030414","peptidase inhibitor activity",44,1,0.03,"0.0293","Module_9"
"142","GO:0061134","peptidase regulator activity",44,1,0.03,"0.0293","Module_9"
"143","GO:0015035","protein-disulfide reductase activity",100,1,0.07,"0.0654","Module_9"
"144","GO:0015036","disulfide oxidoreductase activity",100,1,0.07,"0.0654","Module_9"
"145","GO:0003924","GTPase activity",125,1,0.08,"0.0811","Module_9"
"146","GO:0016667","oxidoreductase activity, acting on a sul...",126,1,0.08,"0.0817","Module_9"
"147","GO:0050660","flavin adenine dinucleotide binding",146,1,0.1,"0.0941","Module_9"
"148","GO:0004857","enzyme inhibitor activity",156,1,0.11,"0.1002","Module_9"
"149","GO:0016614","oxidoreductase activity, acting on CH-OH...",206,1,0.14,"0.1304","Module_9"
"150","GO:0030234","enzyme regulator activity",218,1,0.15,"0.1375","Module_9"
"151","GO:0003909","DNA ligase activity",6,1,0.01,"0.0092","Module_10"
"152","GO:0003910","DNA ligase (ATP) activity",6,1,0.01,"0.0092","Module_10"
"153","GO:0008661","1-deoxy-D-xylulose-5-phosphate synthase ...",6,1,0.01,"0.0092","Module_10"
"154","GO:0016886","ligase activity, forming phosphoric este...",6,1,0.01,"0.0092","Module_10"
"155","GO:0008061","chitin binding",10,1,0.02,"0.0152","Module_10"
"156","GO:0003918","DNA topoisomerase type II (double strand...",12,1,0.02,"0.0182","Module_10"
"157","GO:0140097","catalytic activity, acting on DNA",136,2,0.21,"0.0182","Module_10"
"158","GO:0004743","pyruvate kinase activity",13,1,0.02,"0.0197","Module_10"
"159","GO:0016744","transketolase or transaldolase activity",14,1,0.02,"0.0212","Module_10"
"160","GO:0030955","potassium ion binding",15,1,0.02,"0.0227","Module_10"
"161","GO:0031420","alkali metal ion binding",15,1,0.02,"0.0227","Module_10"
"162","GO:0016874","ligase activity",158,2,0.24,"0.0241","Module_10"
"163","GO:0004568","chitinase activity",18,1,0.03,"0.0272","Module_10"
"164","GO:0043167","ion binding",5212,13,7.98,"0.0292","Module_10"
"165","GO:0004298","threonine-type endopeptidase activity",20,1,0.03,"0.0302","Module_10"
"166","GO:0015018","galactosylgalactosylxylosylprotein 3-bet...",5,1,0.01,"0.0067","Module_11"
"167","GO:0015020","glucuronosyltransferase activity",7,1,0.01,"0.0094","Module_11"
"168","GO:0008242","omega peptidase activity",8,1,0.01,"0.0107","Module_11"
"169","GO:0004869","cysteine-type endopeptidase inhibitor ac...",11,1,0.01,"0.0147","Module_11"
"170","GO:0003918","DNA topoisomerase type II (double strand...",12,1,0.02,"0.0161","Module_11"
"171","GO:0004177","aminopeptidase activity",12,1,0.02,"0.0161","Module_11"
"172","GO:0003916","DNA topoisomerase activity",22,1,0.03,"0.0292","Module_11"
"173","GO:0016638","oxidoreductase activity, acting on the C...",25,1,0.03,"0.0332","Module_11"
"174","GO:0016682","oxidoreductase activity, acting on diphe...",32,1,0.04,"0.0423","Module_11"
"175","GO:0016679","oxidoreductase activity, acting on diphe...",37,1,0.05,"0.0487","Module_11"
"176","GO:0004866","endopeptidase inhibitor activity",43,1,0.06,"0.0564","Module_11"
"177","GO:0061135","endopeptidase regulator activity",43,1,0.06,"0.0564","Module_11"
"178","GO:0030414","peptidase inhibitor activity",44,1,0.06,"0.0577","Module_11"
"179","GO:0061134","peptidase regulator activity",44,1,0.06,"0.0577","Module_11"
"180","GO:0008094","ATP-dependent activity, acting on DNA",63,1,0.08,"0.0816","Module_11"
"181","GO:0008661","1-deoxy-D-xylulose-5-phosphate synthase ...",6,1,0.01,"0.010","Module_12"
"182","GO:0003918","DNA topoisomerase type II (double strand...",12,1,0.02,"0.020","Module_12"
"183","GO:0016491","oxidoreductase activity",1696,7,2.91,"0.022","Module_12"
"184","GO:0046912","acyltransferase activity, acyl groups co...",13,1,0.02,"0.022","Module_12"
"185","GO:0016744","transketolase or transaldolase activity",14,1,0.02,"0.024","Module_12"
"186","GO:0003916","DNA topoisomerase activity",22,1,0.04,"0.037","Module_12"
"187","GO:0046872","metal ion binding",2419,8,4.15,"0.045","Module_12"
"188","GO:0043169","cation binding",2432,8,4.17,"0.047","Module_12"
"189","GO:0046914","transition metal ion binding",1574,6,2.7,"0.047","Module_12"
"190","GO:0003824","catalytic activity",7792,18,13.36,"0.058","Module_12"
"191","GO:0004866","endopeptidase inhibitor activity",43,1,0.07,"0.071","Module_12"
"192","GO:0061135","endopeptidase regulator activity",43,1,0.07,"0.071","Module_12"
"193","GO:0030414","peptidase inhibitor activity",44,1,0.08,"0.073","Module_12"
"194","GO:0061134","peptidase regulator activity",44,1,0.08,"0.073","Module_12"
"195","GO:0016702","oxidoreductase activity, acting on singl...",46,1,0.08,"0.076","Module_12"
"196","GO:0008964","phosphoenolpyruvate carboxylase activity",6,1,0.01,"0.0073","Module_13"
"197","GO:0003995","acyl-CoA dehydrogenase activity",8,1,0.01,"0.0098","Module_13"
"198","GO:0005506","iron ion binding",395,3,0.48,"0.0118","Module_13"
"199","GO:0004611","phosphoenolpyruvate carboxykinase activi...",11,1,0.01,"0.0134","Module_13"
"200","GO:0009055","electron transfer activity",191,2,0.23,"0.0225","Module_13"
"201","GO:0003824","catalytic activity",7792,14,9.54,"0.0375","Module_13"
"202","GO:0016491","oxidoreductase activity",1696,5,2.08,"0.0495","Module_13"
"203","GO:0016831","carboxy-lyase activity",43,1,0.05,"0.0514","Module_13"
"204","GO:0008080","N-acetyltransferase activity",53,1,0.06,"0.0630","Module_13"
"205","GO:0016410","N-acyltransferase activity",56,1,0.07,"0.0664","Module_13"
"206","GO:0016407","acetyltransferase activity",61,1,0.07,"0.0722","Module_13"
"207","GO:0008234","cysteine-type peptidase activity",70,1,0.09,"0.0824","Module_13"
"208","GO:0016830","carbon-carbon lyase activity",73,1,0.09,"0.0858","Module_13"
"209","GO:0051536","iron-sulfur cluster binding",78,1,0.1,"0.0914","Module_13"
"210","GO:0051540","metal cluster binding",78,1,0.1,"0.0914","Module_13"
"211","GO:0030976","thiamine pyrophosphate binding",10,1,0.01,"0.010","Module_14"
"212","GO:0050997","quaternary ammonium group binding",10,1,0.01,"0.010","Module_14"
"213","GO:0016307","phosphatidylinositol phosphate kinase ac...",16,1,0.02,"0.017","Module_14"
"214","GO:1901681","sulfur compound binding",17,1,0.02,"0.018","Module_14"
"215","GO:0043565","sequence-specific DNA binding",298,2,0.31,"0.038","Module_14"
"216","GO:0016831","carboxy-lyase activity",43,1,0.04,"0.044","Module_14"
"217","GO:0005488","binding",11256,15,11.72,"0.065","Module_14"
"218","GO:0016830","carbon-carbon lyase activity",73,1,0.08,"0.073","Module_14"
"219","GO:0046983","protein dimerization activity",454,2,0.47,"0.080","Module_14"
"220","GO:0019842","vitamin binding",104,1,0.11,"0.103","Module_14"
"221","GO:0046982","protein heterodimerization activity",107,1,0.11,"0.106","Module_14"
"222","GO:0003700","DNA-binding transcription factor activit...",552,2,0.57,"0.111","Module_14"
"223","GO:0000287","magnesium ion binding",121,1,0.13,"0.119","Module_14"
"224","GO:0140110","transcription regulator activity",584,2,0.61,"0.122","Module_14"
"225","GO:0005515","protein binding",4340,7,4.52,"0.139","Module_14"
"226","GO:0005488","binding",11256,18,13.1,"0.0081","Module_15"
"227","GO:0050113","inositol oxygenase activity",8,1,0.01,"0.0093","Module_15"
"228","GO:0043167","ion binding",5212,11,6.06,"0.0172","Module_15"
"229","GO:0005525","GTP binding",227,2,0.26,"0.0282","Module_15"
"230","GO:0032561","guanyl ribonucleotide binding",227,2,0.26,"0.0282","Module_15"
"231","GO:0019001","guanyl nucleotide binding",234,2,0.27,"0.0298","Module_15"
"232","GO:0016597","amino acid binding",56,1,0.07,"0.0632","Module_15"
"233","GO:0097159","organic cyclic compound binding",6255,11,7.28,"0.0659","Module_15"
"234","GO:1901363","heterocyclic compound binding",6255,11,7.28,"0.0659","Module_15"
"235","GO:0016701","oxidoreductase activity, acting on singl...",64,1,0.07,"0.0719","Module_15"
"236","GO:0005506","iron ion binding",395,2,0.46,"0.0761","Module_15"
"237","GO:0043177","organic acid binding",72,1,0.08,"0.0806","Module_15"
"238","GO:0051536","iron-sulfur cluster binding",78,1,0.09,"0.0870","Module_15"
"239","GO:0051540","metal cluster binding",78,1,0.09,"0.0870","Module_15"
"240","GO:0036094","small molecule binding",3516,7,4.09,"0.0940","Module_15"
"241","GO:0016491","oxidoreductase activity",1696,4,0.73,"0.0031","Module_16"
"242","GO:0016620","oxidoreductase activity, acting on the a...",48,1,0.02,"0.0204","Module_16"
"243","GO:0016903","oxidoreductase activity, acting on the a...",59,1,0.03,"0.0250","Module_16"
"244","GO:0004601","peroxidase activity",121,1,0.05,"0.0507","Module_16"
"245","GO:0016684","oxidoreductase activity, acting on perox...",124,1,0.05,"0.0520","Module_16"
"246","GO:0016209","antioxidant activity",140,1,0.06,"0.0585","Module_16"
"247","GO:0020037","heme binding",427,1,0.18,"0.1693","Module_16"
"248","GO:0046906","tetrapyrrole binding",436,1,0.19,"0.1726","Module_16"
"249","GO:0003824","catalytic activity",7792,5,3.34,"0.1908","Module_16"
"250","GO:0004713","protein tyrosine kinase activity",747,1,0.32,"0.2795","Module_16"
"251","GO:0005215","transporter activity",877,1,0.38,"0.3206","Module_16"
"252","GO:0004672","protein kinase activity",1296,1,0.56,"0.4395","Module_16"
"253","GO:0016773","phosphotransferase activity, alcohol gro...",1437,1,0.62,"0.4753","Module_16"
"254","GO:0016301","kinase activity",1456,1,0.62,"0.4800","Module_16"
"255","GO:0016772","transferase activity, transferring phosp...",1654,1,0.71,"0.5265","Module_16"
"256","GO:0008198","ferrous iron binding",5,1,0.01,"0.0076","Module_17"
"257","GO:0004616","phosphogluconate dehydrogenase (decarbox...",12,1,0.02,"0.0182","Module_17"
"258","GO:0005506","iron ion binding",395,3,0.6,"0.0218","Module_17"
"259","GO:0071949","FAD binding",17,1,0.03,"0.0257","Module_17"
"260","GO:0016757","glycosyltransferase activity",493,3,0.75,"0.0384","Module_17"
"261","GO:0009378","four-way junction helicase activity",26,1,0.04,"0.0391","Module_17"
"262","GO:0016759","cellulose synthase activity",26,1,0.04,"0.0391","Module_17"
"263","GO:0016760","cellulose synthase (UDP-forming) activit...",26,1,0.04,"0.0391","Module_17"
"264","GO:0016491","oxidoreductase activity",1696,6,2.6,"0.0391","Module_17"
"265","GO:0003678","DNA helicase activity",37,1,0.06,"0.0552","Module_17"
"266","GO:0004866","endopeptidase inhibitor activity",43,1,0.07,"0.0638","Module_17"
"267","GO:0061135","endopeptidase regulator activity",43,1,0.07,"0.0638","Module_17"
"268","GO:0030414","peptidase inhibitor activity",44,1,0.07,"0.0653","Module_17"
"269","GO:0061134","peptidase regulator activity",44,1,0.07,"0.0653","Module_17"
"270","GO:0004497","monooxygenase activity",281,2,0.43,"0.0683","Module_17"
"271","GO:0004396","hexokinase activity",7,1,0.01,"0.0098","Module_18"
"272","GO:0005536","glucose binding",7,1,0.01,"0.0098","Module_18"
"273","GO:0008242","omega peptidase activity",8,1,0.01,"0.0112","Module_18"
"274","GO:0016308","1-phosphatidylinositol-4-phosphate 5-kin...",8,1,0.01,"0.0112","Module_18"
"275","GO:0016307","phosphatidylinositol phosphate kinase ac...",16,1,0.02,"0.0223","Module_18"
"276","GO:0048029","monosaccharide binding",20,1,0.03,"0.0278","Module_18"
"277","GO:0019200","carbohydrate kinase activity",37,1,0.05,"0.0509","Module_18"
"278","GO:0008168","methyltransferase activity",283,2,0.4,"0.0596","Module_18"
"279","GO:0004185","serine-type carboxypeptidase activity",46,1,0.06,"0.0629","Module_18"
"280","GO:0016702","oxidoreductase activity, acting on singl...",46,1,0.06,"0.0629","Module_18"
"281","GO:0051213","dioxygenase activity",50,1,0.07,"0.0681","Module_18"
"282","GO:0016741","transferase activity, transferring one-c...",306,2,0.43,"0.0684","Module_18"
"283","GO:0004180","carboxypeptidase activity",51,1,0.07,"0.0695","Module_18"
"284","GO:0070008","serine-type exopeptidase activity",51,1,0.07,"0.0695","Module_18"
"285","GO:0016701","oxidoreductase activity, acting on singl...",64,1,0.09,"0.0864","Module_18"
"286","GO:0004176","ATP-dependent peptidase activity",7,1,0.01,"0.010","Module_19"
"287","GO:0042802","identical protein binding",10,1,0.01,"0.015","Module_19"
"288","GO:0042803","protein homodimerization activity",10,1,0.01,"0.015","Module_19"
"289","GO:0004177","aminopeptidase activity",12,1,0.02,"0.018","Module_19"
"290","GO:0008233","peptidase activity",464,3,0.68,"0.030","Module_19"
"291","GO:0016638","oxidoreductase activity, acting on the C...",25,1,0.04,"0.036","Module_19"
"292","GO:0051087","chaperone binding",26,1,0.04,"0.038","Module_19"
"293","GO:0016682","oxidoreductase activity, acting on diphe...",32,1,0.05,"0.046","Module_19"
"294","GO:0016679","oxidoreductase activity, acting on diphe...",37,1,0.05,"0.053","Module_19"
"295","GO:0004175","endopeptidase activity",287,2,0.42,"0.066","Module_19"
"296","GO:0004222","metalloendopeptidase activity",48,1,0.07,"0.068","Module_19"
"297","GO:0008237","metallopeptidase activity",64,1,0.09,"0.090","Module_19"
"298","GO:0008238","exopeptidase activity",68,1,0.1,"0.095","Module_19"
"299","GO:0046983","protein dimerization activity",454,2,0.67,"0.143","Module_19"
"300","GO:0004252","serine-type endopeptidase activity",114,1,0.17,"0.155","Module_19"
"301","GO:0008235","metalloexopeptidase activity",8,1,0.01,"0.0073","Module_20"
"302","GO:0004177","aminopeptidase activity",12,1,0.01,"0.0110","Module_20"
"303","GO:0008168","methyltransferase activity",283,2,0.26,"0.0271","Module_20"
"304","GO:0008173","RNA methyltransferase activity",33,1,0.03,"0.0299","Module_20"
"305","GO:0016741","transferase activity, transferring one-c...",306,2,0.28,"0.0313","Module_20"
"306","GO:0003743","translation initiation factor activity",41,1,0.04,"0.0370","Module_20"
"307","GO:0008171","O-methyltransferase activity",54,1,0.05,"0.0485","Module_20"
"308","GO:0008237","metallopeptidase activity",64,1,0.06,"0.0572","Module_20"
"309","GO:0008238","exopeptidase activity",68,1,0.06,"0.0607","Module_20"
"310","GO:0008135","translation factor activity, RNA binding",74,1,0.07,"0.0659","Module_20"
"311","GO:0045182","translation regulator activity",74,1,0.07,"0.0659","Module_20"
"312","GO:0090079","translation regulator activity, nucleic ...",74,1,0.07,"0.0659","Module_20"
"313","GO:0051536","iron-sulfur cluster binding",78,1,0.07,"0.0693","Module_20"
"314","GO:0051540","metal cluster binding",78,1,0.07,"0.0693","Module_20"
"315","GO:0003924","GTPase activity",125,1,0.11,"0.1089","Module_20"
"316","GO:0009055","electron transfer activity",191,3,0.27,"0.0023","Module_21"
"317","GO:0016746","acyltransferase activity",292,3,0.41,"0.0077","Module_21"
"318","GO:0008252","nucleotidase activity",7,1,0.01,"0.0098","Module_21"
"319","GO:0008194","UDP-glycosyltransferase activity",128,2,0.18,"0.0138","Module_21"
"320","GO:0016157","sucrose synthase activity",10,1,0.01,"0.0140","Module_21"
"321","GO:0003954","NADH dehydrogenase activity",12,1,0.02,"0.0168","Module_21"
"322","GO:0003955","NAD(P)H dehydrogenase (quinone) activity",12,1,0.02,"0.0168","Module_21"
"323","GO:0008137","NADH dehydrogenase (ubiquinone) activity",12,1,0.02,"0.0168","Module_21"
"324","GO:0050136","NADH dehydrogenase (quinone) activity",12,1,0.02,"0.0168","Module_21"
"325","GO:0004743","pyruvate kinase activity",13,1,0.02,"0.0182","Module_21"
"326","GO:0046912","acyltransferase activity, acyl groups co...",13,1,0.02,"0.0182","Module_21"
"327","GO:0030955","potassium ion binding",15,1,0.02,"0.0209","Module_21"
"328","GO:0031420","alkali metal ion binding",15,1,0.02,"0.0209","Module_21"
"329","GO:0016655","oxidoreductase activity, acting on NAD(P...",16,1,0.02,"0.0223","Module_21"
"330","GO:0016491","oxidoreductase activity",1696,6,2.39,"0.0266","Module_21"
"331","GO:0008252","nucleotidase activity",7,1,0,"0.0039","Module_22"
