Feature_1,Feature_2,biore_full,diff_mz,diff_rt,elution,Similarity_score,spearman_cor
X2349_280.0818_5.01_pos ,X2477_296.0753_4.65_pos,"""Oxygenation""",-15.9935,0.36,-1,,0.671538699
X2337_237.0885_3.37_pos ,X8953_267.1022_5.94_pos,"""Methoxylation""",-30.0137,-2.57,0,,0.857909343
X2274_517.2058_7.85_pos ,X9586_355.1504_9.39_pos,"""Hexose""",162.0554,-1.54,-1,,0.693246994
X2270_447.1899_6.70_pos ,X7538_461.2056_8.58_pos,"""Methylation""",-14.0157,-1.88,1,,0.686709837
X2270_447.1899_6.70_pos ,X59_417.1734_6.40_pos,"""Methoxylation""",30.0165,0.3,0,,0.737897009
X1910_455.1893_10.10_pos ,X4503_437.1785_10.99_pos,"""Hydration""",18.0108,-0.89,-1,,0.738020352
X1842_415.2315_7.84_pos ,X8970_457.2377_7.39_pos,"""Acetylation""",-42.0062,0.45,0,,0.701387604
X1708_543.2390_8.28_pos ,X557_527.2468_9.74_pos,"""Oxygenation""",15.9922,-1.46,-1,,0.767745914
X1708_543.2390_8.28_pos ,X9146_525.2310_9.43_pos,"""Hydration""",18.008,-1.15,-1,,0.797718162
X17_335.1308_3.14_pos ,X690_377.1356_3.95_pos,"""Acetylation""",-42.0048,-0.81,0,,0.733580019
X17_335.1308_3.14_pos ,X446_319.1365_3.86_pos,"""Oxygenation""",15.9943,-0.72,-1,,0.826827012
X1608_423.2357_12.02_pos ,X1758_585.2869_8.69_pos,"""Hexose""",-162.0512,3.33,-1,,0.710884983
X1608_423.2357_12.02_pos ,X8886_441.2464_8.89_pos,"""Hydration""",-18.0107,3.13,-1,,0.745050879
X15559_591.3267_7.45_pos ,X15596_621.3339_7.21_pos,"""Methoxylation""",-30.0072,0.24,0,,0.730496454
X1543_251.1306_7.61_pos ,X3364_233.1145_9.16_pos,"""Hydration""",18.0161,-1.55,-1,,0.728646315
X1488_545.3298_9.41_pos ,X2413_563.3395_7.46_pos,"""Hydration""",-18.0097,1.95,-1,,0.796114709
X1488_545.3298_9.41_pos ,X7729_543.3140_9.90_pos,"""Reduction""",2.0158,-0.49,-1,,0.667961764
X1484_839.3344_7.60_pos ,X506_677.2819_9.10_pos,"""Hexose""",162.0525,-1.5,-1,,0.757385137
X1484_839.3344_7.60_pos ,X4851_841.3500_7.43_pos,"""Reduction""",-2.0156,0.17,-1,,0.75800185
X12438_327.2535_11.22_pos ,X3938_345.2627_10.98_pos,"""Hydration""",-18.0092,0.24,-1,,0.876780759
X1478_433.1677_4.17_pos ,X59_417.1734_6.40_pos,"""Oxygenation""",15.9943,-2.23,-1,,0.745544249
X1478_433.1677_4.17_pos ,X2270_447.1899_6.70_pos,"""Methylation""",-14.0222,-2.53,1,,0.71692877
X1478_433.1677_4.17_pos ,X2118_417.1734_6.58_pos,"""Oxygenation""",15.9943,-2.41,-1,,0.656984274
X14546_504.2812_9.40_pos ,X16293_534.2895_9.58_pos,"""Methoxylation""",-30.0083,-0.18,0,,0.6582177
X1351_415.1573_10.32_pos ,X21_385.1490_7.28_pos,"""Methoxylation""",30.0083,3.04,0,,0.708788159
X133_1069.5580_12.94_pos ,X9081_1085.5526_11.64_pos,"""Oxygenation""",-15.9946,1.3,-1,,0.673635523
X133_1069.5580_12.94_pos ,X9002_1231.6100_11.79_pos,"""Hexose""",-162.052,1.15,-1,,0.894418748
X133_1069.5580_12.94_pos ,X4714_923.4998_13.18_pos,"""Deoxyhexose""",146.0582,-0.24,-1,,0.956213383
X12176_697.1606_6.56_pos ,X8829_535.1087_8.09_pos,"""Hexose""",162.0519,-1.53,-1,,0.885414739
X12176_697.1606_6.56_pos ,X15280_521.1235_8.63_pos,"""Hexuronic acid""",176.0371,-2.07,-1,,0.678815911
X11573_439.2283_8.55_pos ,X8970_457.2377_7.39_pos,"""Hydration""",-18.0094,1.16,-1,,0.764415665
X11573_439.2283_8.55_pos ,X8948_457.2369_6.83_pos,"""Hydration""",-18.0086,1.72,-1,,0.777489978
X11573_439.2283_8.55_pos ,X9624_423.2343_10.15_pos,"""Oxygenation""",15.994,-1.6,-1,,0.806352143
X11573_439.2283_8.55_pos ,X561_457.2422_7.70_pos,"""Hydration""",-18.0139,0.85,-1,,0.739253777
X11573_439.2283_8.55_pos ,X1608_423.2357_12.02_pos,"""Oxygenation""",15.9926,-3.47,-1,,0.756768424
X1152_545.3299_10.04_pos ,X345_547.3445_9.56_pos,"""Reduction""",-2.0146,0.48,-1,,0.953869874
X1152_545.3299_10.04_pos ,X2413_563.3395_7.46_pos,"""Hydration""",-18.0096,2.58,-1,,0.834597595
X1009_943.5261_12.47_pos ,X4767_797.4682_12.65_pos,"""Deoxyhexose""",146.0579,-0.18,-1,,0.947209374
X1009_943.5261_12.47_pos ,X8913_1105.5788_9.89_pos,"""Hexose""",-162.0527,2.58,-1,,0.875547333
X1009_943.5261_12.47_pos ,X4900_941.5092_12.85_pos,"""Reduction""",2.0169,-0.38,-1,,0.977921677
X10019_285.1678_8.62_pos ,X1919_401.1785_6.44_pos,"""Malate""",-116.0107,2.18,-1,,0.659451126
X594_301.1275_3.83_pos ,X8915_319.1359_3.23_pos,"""Hydration""",-18.0084,0.6,-1,,0.68781992
X9333_609.2180_7.74_pos ,X9548_359.0786_7.94_pos,,,,,0.820904234,0.668578477
X9252_439.0852_7.20_pos ,X9548_359.0786_7.94_pos,,,,,0.728009826,0.767745914
X9252_439.0852_7.20_pos ,X9421_769.2682_7.97_pos,,,,,0.654809036,0.710514955
X9228_305.2452_10.97_pos ,X9523_399.1627_9.71_pos,,,,,0.966050459,0.709898242
X9192_506.2050_7.32_pos ,X9701_476.1955_7.26_pos,"""Methoxylation""",30.0095,0.06,0,,0.827937095
X9180_541.2984_8.27_pos ,X9665_352.1215_8.28_pos,,,,,0.8688315,0.807092199
X9160_175.1381_5.01_pos ,X9350_205.1523_4.44_pos,"""Methoxylation""",-30.0142,0.57,0,,0.71359852
X9160_175.1381_5.01_pos ,X9209_431.1348_5.93_pos,,,,,0.767729389,0.816959605
X9148_373.1808_7.22_pos ,X9220_489.2279_7.19_pos,,,,,0.729012589,0.703361085
X9135_453.1430_6.67_pos ,X9333_609.2180_7.74_pos,,,,,0.692039489,0.722972556
X9096_525.3043_9.21_pos ,X9180_541.2984_8.27_pos,"""Oxygenation""",-15.9941,0.94,-1,,0.90835646
X9040_289.2524_12.38_pos ,X9228_305.2452_10.97_pos,"""Oxygenation""",-15.9928,1.41,-1,,0.928584644
X1533_543.2378_7.58_pos ,X8976_611.3042_10.75_pos,"""Isoprenylation""",-68.0664,-3.17,1,,0.730619796
X1533_543.2378_7.58_pos ,X557_527.2468_9.74_pos,"""Oxygenation""",15.991,-2.16,-1,,0.861486278
X1533_543.2378_7.58_pos ,X9146_525.2310_9.43_pos,"""Hydration""",18.0068,-1.85,-1,,0.943262411
X1533_543.2378_7.58_pos ,X17799_367.2092_8.70_pos,"""Hexuronic acid""",176.0286,-1.12,-1,,0.658587727
X9029_369.1516_6.23_pos ,X9142_353.1575_7.31_pos,"""Oxygenation""",15.9941,-1.08,-1,,0.652667283
X9018_360.1678_6.68_pos ,X9548_359.0786_7.94_pos,,,,,0.894386871,0.740363861
X9018_360.1678_6.68_pos ,X9333_609.2180_7.74_pos,,,,,0.908977327,0.659697811
X8969_637.1527_5.02_pos ,X9016_621.1563_5.31_pos,"""Oxygenation""",15.9964,-0.29,-1,,0.681652791
X8948_457.2369_6.83_pos ,X9096_525.3043_9.21_pos,"""Isoprenylation""",-68.0674,-2.38,1,,0.663151403
X8948_457.2369_6.83_pos ,X9338_499.2535_10.49_pos,"""Acetylation""",-42.0166,-3.66,0,,0.674498921
X8947_621.1570_5.53_pos ,X8969_637.1527_5.02_pos,"""Oxygenation""",-15.9957,0.51,-1,,0.762195498
X8943_297.0642_5.96_pos ,X8963_314.0876_6.07_pos,,,,,0.685552882,0.857786001
X8886_441.2464_8.89_pos ,X9477_603.3002_7.99_pos,"""Hexose""",-162.0538,0.9,-1,,0.711625039
X8886_441.2464_8.89_pos ,X8970_457.2377_7.39_pos,"""Oxygenation""",-15.9913,1.5,-1,,0.771199507
X8886_441.2464_8.89_pos ,X9624_423.2343_10.15_pos,"""Hydration""",18.0121,-1.26,-1,,0.68831329
X1414_219.1025_7.47_pos ,X9605_351.1409_5.83_pos,"""Pentose""",-132.0384,1.64,-1,,0.696207216
X8854_195.0556_7.21_pos ,X9148_373.1808_7.22_pos,,,,,0.954259357,0.677952513
X8837_165.0574_6.99_pos ,X9093_317.0663_8.99_pos,,,,,0.962343107,0.796978107
X8833_189.1545_4.01_pos ,X9014_175.1352_3.87_pos,"""Methylation""",14.0193,0.14,1,,0.777736664
X12583_347.1664_4.01_pos ,X25351_415.2247_7.42_pos,"""Isoprenylation""",-68.0583,-3.41,1,,0.693370336
X12583_347.1664_4.01_pos ,X1842_415.2315_7.84_pos,"""Isoprenylation""",-68.0651,-3.83,1,,0.660561209
X8829_535.1087_8.09_pos ,X9333_609.2180_7.74_pos,,,,,0.901644299,0.689300031
X8827_165.0578_6.82_pos ,X9093_317.0663_8.99_pos,,,,,0.989672618,0.819179772
X8827_165.0578_6.82_pos ,X8837_165.0574_6.99_pos,,,,,0.976048447,0.938822078
X8818_305.2474_11.22_pos ,X9523_399.1627_9.71_pos,,,,,0.956156688,0.766265803
X8818_305.2474_11.22_pos ,X9228_305.2452_10.97_pos,,,,,0.990925183,0.949429541
X8818_305.2474_11.22_pos ,X9040_289.2524_12.38_pos,"""Oxygenation""",15.995,-1.16,-1,,0.954733272
X8621_557.2566_6.06_pos ,X9209_431.1348_5.93_pos,,,,,0.717243192,0.654764107
X8370_469.1687_10.50_pos ,X9338_499.2535_10.49_pos,,,,,1,0.658464385
X8268_389.1571_8.04_pos ,X9223_551.2123_6.44_pos,"""Hexose""",-162.0552,1.6,-1,,0.881591119
X11931_559.1663_7.62_pos ,X815_543.1841_7.61_pos,,,,,0.901514486,0.651927228
X7994_543.3139_8.18_pos ,X9180_541.2984_8.27_pos,"""Reduction""",2.0155,-0.09,-1,,0.898735739
X7994_543.3139_8.18_pos ,X9096_525.3043_9.21_pos,"""Hydration""",18.0096,-1.03,-1,,0.935861856
X7536_543.3142_8.67_pos ,X9096_525.3043_9.21_pos,"""Hydration""",18.0099,-0.54,-1,,0.883317916
X7536_543.3142_8.67_pos ,X7994_543.3139_8.18_pos,,,,,0.679830521,0.886771508
X7872_601.2105_4.74_pos ,X908_469.1681_5.71_pos,"""Pentose""",132.0424,-0.97,-1,,0.767005859
X7851_542.2606_7.46_pos ,X9018_360.1678_6.68_pos,,,,,0.699583387,0.674128893
X5795_453.1596_3.02_pos ,X822_641.1907_3.02_pos,,,,,0.982762325,0.920814061
X7471_515.1179_10.84_pos ,X9228_305.2452_10.97_pos,,,,,0.92619447,0.839407956
X7471_515.1179_10.84_pos ,X8818_305.2474_11.22_pos,,,,,0.917108836,0.802528523
X7459_633.2156_7.33_pos ,X9142_353.1575_7.31_pos,,,,,0.782002696,0.727166204
X7448_437.1053_7.63_pos ,X910_589.1909_7.65_pos,,,,,0.703340836,0.736910268
X7446_517.2256_7.39_pos ,X7459_633.2156_7.33_pos,,,,,0.944586878,0.706567993
X7419_545.3298_9.29_pos ,X7729_543.3140_9.90_pos,"""Reduction""",2.0158,-0.61,-1,,0.877890842
X7405_703.2801_8.25_pos ,X9018_360.1678_6.68_pos,,,,,0.671580068,0.745050879
X739_252.0870_6.00_pos ,X7449_573.1861_4.21_pos,,,,,0.822792199,0.701017576
X6993_287.0563_10.77_pos ,X9072_633.1423_6.22_pos,,,,,0.727785402,0.827813753
X699_268.1227_3.42_pos ,X941_134.0812_3.78_pos,,,,,0.890964976,0.677952513
X695_441.1761_7.95_pos ,X900_459.1904_6.44_pos,"""Hydration""",-18.0143,1.51,-1,,0.664261486
X695_441.1761_7.95_pos ,X9333_609.2180_7.74_pos,,,,,0.788854127,0.686586494
X695_441.1761_7.95_pos ,X916_499.2110_7.21_pos,,,,,0.771297714,0.709898242
X3520_285.1309_6.63_pos ,X59_417.1734_6.40_pos,"""Pentose""",-132.0425,0.23,-1,,0.679925994
X3520_285.1309_6.63_pos ,X594_301.1275_3.83_pos,"""Oxygenation""",-15.9966,2.8,-1,,0.698674067
X155_448.1942_4.63_pos ,X661_430.1769_6.57_pos,"""Hydration""",18.0173,-1.94,-1,,0.795621338
X155_448.1942_4.63_pos ,X79_259.1099_4.64_pos,,,,,0.699606516,0.798334875
X6803_580.1358_5.32_pos ,X9016_621.1563_5.31_pos,,,,,0.784850757,0.664878199
X6803_580.1358_5.32_pos ,X8969_637.1527_5.02_pos,,,,,0.771442648,0.810915819
X6803_580.1358_5.32_pos ,X8908_622.1409_5.64_pos,"""Acetylation""",-42.0051,-0.32,0,,0.730743139
X12010_457.2371_7.30_pos ,X8886_441.2464_8.89_pos,"""Oxygenation""",15.9907,-1.59,-1,,0.76564909
X12010_457.2371_7.30_pos ,X3876_475.2475_5.51_pos,"""Hydration""",-18.0104,1.79,-1,,0.863089732
X12010_457.2371_7.30_pos ,X9338_499.2535_10.49_pos,"""Acetylation""",-42.0164,-3.19,0,,0.719272279
X12010_457.2371_7.30_pos ,X9096_525.3043_9.21_pos,"""Isoprenylation""",-68.0672,-1.91,1,,0.717668825
X12010_457.2371_7.30_pos ,X1842_415.2315_7.84_pos,"""Acetylation""",42.0056,-0.54,0,,0.73222325
X12010_457.2371_7.30_pos ,X25351_415.2247_7.42_pos,"""Acetylation""",42.0124,-0.12,0,,0.773049645
X12010_457.2371_7.30_pos ,X1913_525.3036_11.04_pos,"""Isoprenylation""",-68.0665,-3.74,1,,0.667345051
X3125_391.1366_9.02_pos ,X7842_523.1788_8.58_pos,"""Pentose""",-132.0422,0.44,-1,,0.68781992
X6586_695.2919_8.34_pos ,X845_679.2976_8.56_pos,"""Oxygenation""",15.9943,-0.22,-1,,0.812765957
X655_130.1592_5.09_pos ,X80_172.1696_12.91_pos,"""Acetylation""",-42.0104,-7.82,0,,0.745420907
X6488_597.1811_5.35_pos ,X9610_376.1611_5.13_pos,,,,,0.897421045,0.850755473
X647_157.0836_3.89_pos ,X9815_279.0412_10.67_pos,,,,,0.780786722,0.727042862
X1475_321.0271_2.41_pos ,X6425_289.0878_2.41_pos,,,,,0.813804971,0.664138144
X639_179.0905_6.59_pos ,X647_157.0836_3.89_pos,,,,,0.796266224,0.656490903
X638_252.0867_6.55_pos ,X7449_573.1861_4.21_pos,,,,,0.701361407,0.693617021
X638_252.0867_6.55_pos ,X739_252.0870_6.00_pos,,,,,0.709017466,0.718532223
X6319_495.0772_5.97_pos ,X9068_537.0886_9.20_pos,"""Acetylation""",-42.0114,-3.23,0,,0.921554117
X6266_495.0791_5.80_pos ,X9068_537.0886_9.20_pos,"""Acetylation""",-42.0095,-3.4,0,,0.854702436
X6228_479.0830_6.44_pos ,X6319_495.0772_5.97_pos,"""Oxygenation""",-15.9942,0.47,-1,,0.831390688
X6228_479.0830_6.44_pos ,X6266_495.0791_5.80_pos,"""Oxygenation""",-15.9961,0.64,-1,,0.816589578
X1919_401.1785_6.44_pos ,X900_459.1904_6.44_pos,,,,,0.677026137,0.703977798
X6223_595.1345_7.00_pos ,X9_743.2029_6.19_pos,,,,,0.735504619,0.715078631
X6206_638.1358_5.25_pos ,X8908_622.1409_5.64_pos,"""Oxygenation""",15.9949,-0.39,-1,,0.681652791
X6187_493.1042_7.90_pos ,X9346_625.1425_5.50_pos,"""Pentose""",-132.0383,2.4,-1,,0.729633056
X6187_493.1042_7.90_pos ,X6228_479.0830_6.44_pos,"""Methylation""",14.0212,1.46,1,,0.752574776
X6027_583.2737_12.23_pos ,X9268_515.2110_8.87_pos,"""Isoprenylation""",68.0627,3.36,1,,0.693617021
X6_373.2455_5.40_pos ,X6978_373.0569_5.40_pos,,,,,1,0.927351218
X5994_180.0937_5.26_pos ,X9523_399.1627_9.71_pos,,,,,0.724116285,0.652543941
X2118_417.1734_6.58_pos ,X2270_447.1899_6.70_pos,"""Methoxylation""",-30.0165,-0.12,0,,0.693987049
X568_479.0825_7.05_pos ,X9346_625.1425_5.50_pos,"""Deoxyhexose""",-146.06,1.55,-1,,0.74751773
X568_479.0825_7.05_pos ,X6319_495.0772_5.97_pos,"""Oxygenation""",-15.9947,1.08,-1,,0.93697194
X568_479.0825_7.05_pos ,X6223_595.1345_7.00_pos,,,,,0.735504619,0.657724329
X568_479.0825_7.05_pos ,X6266_495.0791_5.80_pos,"""Oxygenation""",-15.9966,1.25,-1,,0.879617638
X568_479.0825_7.05_pos ,X6187_493.1042_7.90_pos,"""Methylation""",-14.0217,-0.85,1,,0.877520814
X5388_496.1237_2.76_pos ,X5540_496.1234_2.59_pos,,,,,0.765280199,0.907616405
X1234_373.1830_8.05_pos ,X8268_389.1571_8.04_pos,,,,,0.981518249,0.743447425
X1234_373.1830_8.05_pos ,X9103_357.1936_9.25_pos,"""Oxygenation""",15.9894,-1.2,-1,,0.839407956
X1234_373.1830_8.05_pos ,X8886_441.2464_8.89_pos,"""Isoprenylation""",-68.0634,-0.84,1,,0.752821462
X5322_279.1376_3.86_pos ,X647_157.0836_3.89_pos,,,,,0.952643301,0.735923528
X5322_279.1376_3.86_pos ,X639_179.0905_6.59_pos,,,,,0.851587661,0.671785384
X14794_611.3040_9.45_pos ,X1533_543.2378_7.58_pos,"""Isoprenylation""",68.0662,1.87,1,,0.685229726
X14794_611.3040_9.45_pos ,X16318_629.3149_8.34_pos,"""Hydration""",-18.0109,1.11,-1,,0.92698119
X521_387.3217_12.90_pos ,X80_172.1696_12.91_pos,,,,,0.836954295,0.760098674
X5187_507.1524_3.46_pos ,X5540_496.1234_2.59_pos,,,,,0.679060017,0.687573235
X5187_507.1524_3.46_pos ,X5388_496.1237_2.76_pos,,,,,0.817104185,0.758741906
X1663_355.1500_3.93_pos ,X2461_369.1656_4.90_pos,"""Methylation""",-14.0156,-0.97,1,,0.690656799
X1663_355.1500_3.93_pos ,X5094_369.1649_5.18_pos,"""Methylation""",-14.0149,-1.25,1,0.661340337,0.71076164
X5043_529.2622_7.21_pos ,X5162_527.2456_7.56_pos,"""Reduction""",2.0166,-0.35,-1,,0.765279063
X504_377.1784_5.22_pos ,X840_391.1923_7.32_pos,"""Methylation""",-14.0139,-2.1,1,,0.946345976
X5000_157.0835_3.68_pos ,X9815_279.0412_10.67_pos,,,,,0.795042212,0.730126426
X5000_157.0835_3.68_pos ,X647_157.0836_3.89_pos,,,,,0.937999467,0.968547641
X493_272.2583_11.53_pos ,X612_286.2740_11.82_pos,"""Methylation""",-14.0157,-0.29,1,,0.965340734
X493_272.2583_11.53_pos ,X9815_279.0412_10.67_pos,,,,,0.969625777,0.694603762
X493_272.2583_11.53_pos ,X5322_279.1376_3.86_pos,,,,,0.706761317,0.798211533
X493_272.2583_11.53_pos ,X5000_157.0835_3.68_pos,,,,,0.68289227,0.848411964
X493_272.2583_11.53_pos ,X647_157.0836_3.89_pos,,,,,0.692911409,0.912303423
X493_272.2583_11.53_pos ,X639_179.0905_6.59_pos,,,,,0.836791314,0.671045328
X489_595.1701_7.42_pos ,X9161_757.2188_5.55_pos,"""Hexose""",-162.0487,1.87,-1,,0.853345668
X489_595.1701_7.42_pos ,X8829_535.1087_8.09_pos,,,,,0.987131875,0.698304039
X4851_841.3500_7.43_pos ,X845_679.2976_8.56_pos,"""Hexose""",162.0524,-1.13,-1,,0.688683318
X1007_423.0896_7.42_pos ,X9252_439.0852_7.20_pos,"""Oxygenation""",-15.9956,0.22,-1,,0.788467468
X1007_423.0896_7.42_pos ,X7448_437.1053_7.63_pos,"""Methylation""",-14.0157,-0.21,1,,0.728769658
X4850_514.6573_4.07_pos ,X9498_368.0944_4.07_pos,,,,,0.773092572,0.709034844
X4821_627.1560_6.07_pos ,X65_597.1482_6.47_pos,"""Methoxylation""",30.0078,-0.4,0,,0.835831021
X4800_297.0631_4.96_pos ,X6218_165.0573_5.10_pos,,,,,0.971973864,0.781930311
X4767_797.4682_12.65_pos ,X5163_943.5260_8.93_pos,"""Deoxyhexose""",-146.0578,3.72,-1,,0.862966389
X4583_303.0499_9.51_pos ,X65_597.1482_6.47_pos,,,,,0.950578571,0.722355843
X4583_303.0499_9.51_pos ,X568_479.0825_7.05_pos,"""Hexuronic acid""",-176.0326,2.46,-1,0.952106647,0.76848597
X4583_303.0499_9.51_pos ,X6228_479.0830_6.44_pos,"""Hexuronic acid""",-176.0331,3.07,-1,,0.65205057
X4454_389.1515_8.29_pos ,X9018_360.1678_6.68_pos,,,,,0.82056569,0.750724638
X4454_389.1515_8.29_pos ,X9548_359.0786_7.94_pos,,,,,0.820885744,0.713968548
X4454_389.1515_8.29_pos ,X9421_769.2682_7.97_pos,,,,,0.681446654,0.752328091
X4431_291.1888_10.55_pos ,X7471_515.1179_10.84_pos,,,,,0.921146369,0.796978107
X4431_291.1888_10.55_pos ,X5994_180.0937_5.26_pos,,,,,0.704429669,0.690780142
X4431_291.1888_10.55_pos ,X9228_305.2452_10.97_pos,,,,,0.988951643,0.771446192
X4431_291.1888_10.55_pos ,X8818_305.2474_11.22_pos,,,,,0.984748283,0.75035461
X4302_471.2175_7.20_pos ,X682_455.2254_8.79_pos,"""Oxygenation""",15.9921,-1.59,-1,,0.652913969
X4287_410.0295_5.50_pos ,X527_379.1025_5.49_pos,,,,,0.973635647,0.809312365
X4270_463.0874_7.67_pos ,X9346_625.1425_5.50_pos,"""Hexose""",-162.0551,2.17,-1,,0.860746223
X4270_463.0874_7.67_pos ,X6187_493.1042_7.90_pos,"""Methoxylation""",-30.0168,-0.23,0,,0.689546716
X4270_463.0874_7.67_pos ,X9072_633.1423_6.22_pos,,,,,0.970855513,0.734320074
X4270_463.0874_7.67_pos ,X568_479.0825_7.05_pos,"""Oxygenation""",-15.9951,0.62,-1,,0.695343817
X4270_463.0874_7.67_pos ,X9368_656.1609_6.68_pos,,,,,0.999952616,0.669071847
X4199_449.1084_7.68_pos ,X9072_633.1423_6.22_pos,,,,,0.970855513,0.650447117
X4199_449.1084_7.68_pos ,X6993_287.0563_10.77_pos,"""Hexose""",162.0521,-3.09,-1,0.749633073,0.789947579
X4195_509.2362_10.73_pos ,X557_527.2468_9.74_pos,"""Hydration""",-18.0106,0.99,-1,,0.71692877
X4195_509.2362_10.73_pos ,X9146_525.2310_9.43_pos,"""Oxygenation""",-15.9948,1.3,-1,,0.661424607
X412_146.1170_2.11_pos ,X9815_279.0412_10.67_pos,,,,,0.676915306,0.720012334
X412_146.1170_2.11_pos ,X5000_157.0835_3.68_pos,,,,,0.848530003,0.656490903
X412_146.1170_2.11_pos ,X647_157.0836_3.89_pos,,,,,0.829061133,0.71692877
X412_146.1170_2.11_pos ,X5322_279.1376_3.86_pos,,,,,0.848997844,0.762688868
X410_429.1759_9.21_pos ,X6466_163.1174_9.21_pos,,,,,0.774192185,0.730743139
X2364_181.1223_9.36_pos ,X410_429.1759_9.21_pos,,,,,0.7520136,0.758248535
X41_298.0969_4.33_pos ,X6420_331.0827_2.62_pos,,,,,0.774588923,0.742213999
X29677_261.1309_4.31_pos ,X79_259.1099_4.64_pos,"""Reduction""",2.021,-0.33,-1,,0.672032069
X29677_261.1309_4.31_pos ,X5322_279.1376_3.86_pos,"""Hydration""",-18.0067,0.45,-1,,0.656244218
X21_385.1490_7.28_pos ,X840_391.1923_7.32_pos,,,,,0.815958672,0.752081406
X21_385.1490_7.28_pos ,X409_382.2023_7.73_pos,,,,,0.691655021,0.894542091
X21_385.1490_7.28_pos ,X639_179.0905_6.59_pos,"""Sinapate""",206.0585,0.69,1,,0.654270737
X21_385.1490_7.28_pos ,X22_547.2003_6.19_pos,"""Hexose""",-162.0513,1.09,-1,,0.763058896
